"","species","genus","family","order","class","phylum","kingdom","taxonomic_level","taxon"
"1","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota","species","Clupea pallasii"
"2","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","species","Ammodytes hexapterus"
"3","Anisarchus medius","Anisarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Anisarchus medius"
"4","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Mallotus villosus"
"5","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","species","Ammodytes personatus"
"6","Lycodes polaris","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lycodes polaris"
"7","Gymnocanthus tricuspis","Gymnocanthus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Gymnocanthus tricuspis"
"8","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Osmerus mordax"
"9","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Pleuronectes quadrituberculatus"
"10","Liparis tunicatus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Liparis tunicatus"
"11","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lycodes palearis"
"12","Lycodes raridens","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lycodes raridens"
"13","Asterias amurensis","Asterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata","Eukaryota","species","Asterias amurensis"
"14","Pungitius pungitius","Pungitius","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Pungitius pungitius"
"15","Stichaeus punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Stichaeus punctatus"
"16","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Gasterosteus aculeatus"
"17","Pholis laeta","Pholis","Pholidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Pholis laeta"
"18","Acantholumpenus mackayi","Acantholumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Acantholumpenus mackayi"
"19","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Blepsias bilobus"
"20","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Leptoclinus maculatus"
"21","Aspidophoroides olrikii","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Aspidophoroides olrikii"
"22","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Hippoglossus stenolepis"
"23","Artedius lateralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Artedius lateralis"
"24","Triglops pingelii","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Triglops pingelii"
"25","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Hexagrammos decagrammus"
"26","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Hypomesus pretiosus"
"27","Hemilepidotus hemilepidotus","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Hemilepidotus hemilepidotus"
"28","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lumpenus sagitta"
"29","Tarletonbeania crenularis","Tarletonbeania","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Tarletonbeania crenularis"
"30","Callorhinus ursinus","Callorhinus","Otariidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Callorhinus ursinus"
"31","Sebastes diploproa","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Sebastes diploproa"
"32","Podothecus accipenserinus","Podothecus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Podothecus accipenserinus"
"33","Hypsagonus quadricornis","Hypsagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Hypsagonus quadricornis"
"34","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Anoplopoma fimbria"
"35","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lycodes brevipes"
"36","Citharichthys stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Citharichthys stigmaeus"
"37","Lethenteron camtschaticum","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota","species","Lethenteron camtschaticum"
"38","Erignathus barbatus","Erignathus","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Erignathus barbatus"
"39","Phocoena phocoena","Phocoena","Phocoenidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Phocoena phocoena"
"40","Odobenus rosmarus","Odobenus","Odobenidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Odobenus rosmarus"
"41","Balaenoptera physalus","Balaenoptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Balaenoptera physalus"
"42","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Zaprora silenus"
"43","Aptocyclus ventricosus","Aptocyclus","Cyclopteridae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Aptocyclus ventricosus"
"44","Pusa hispida","Pusa","Phocidae","Carnivora","Mammalia","Chordata","Eukaryota","species","Pusa hispida"
"45","Gymnocanthus pistilliger","Gymnocanthus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Gymnocanthus pistilliger"
"46","Aspidophoroides monopterygius","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Aspidophoroides monopterygius"
"47","Delphinapterus leucas","Delphinapterus","Monodontidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Delphinapterus leucas"
"48","Thaleichthys pacificus","Thaleichthys","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Thaleichthys pacificus"
"49","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Hippoglossoides robustus"
"50","Syngnathus leptorhynchus","Syngnathus","Syngnathidae","Syngnathiformes","Actinopteri","Chordata","Eukaryota","species","Syngnathus leptorhynchus"
"51","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Reinhardtius hippoglossoides"
"52","Balaena mysticetus","Balaena","Balaenidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Balaena mysticetus"
"53","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Limanda aspera"
"54","Leuroglossus schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota","species","Leuroglossus schmidti"
"55","Megaptera novaeangliae","Megaptera","Balaenopteridae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Megaptera novaeangliae"
"56","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota","species","Synthliboramphus antiquus"
"57","Lagenorhynchus obliquidens","Lagenorhynchus","Delphinidae","Artiodactyla","Mammalia","Chordata","Eukaryota","species","Lagenorhynchus obliquidens"
"58","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Stenobrachius leucopsarus"
"59","Uria aalge","Uria","Alcidae","Charadriiformes","Aves","Chordata","Eukaryota","species","Uria aalge"
"60","Sebastes ciliatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"61","Sebastes crameri","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"62","Sebastes polyspinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"63","Sebastes reedi","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"64","Sebastes variabilis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 1"
"65","Sebastes auriculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"66","Sebastes rastrelliger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 2"
"67","Sebastes aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"68","Sebastes alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"69","Sebastes babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"70","Sebastes brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"71","Sebastes elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"72","Sebastes emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"73","Sebastes flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"74","Sebastes goodei","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"75","Sebastes helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"76","Sebastes jordani","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"77","Sebastes melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"78","Sebastes melanostictus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"79","Sebastes miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"80","Sebastes pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"81","Sebastes proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"82","Sebastes rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"83","Sebastes ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"84","Sebastes variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"85","Sebastes wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"86","Sebastes zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 3"
"87","Sebastes borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 4"
"88","Sebastes saxicola","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Sebastes 4"
"89","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"90","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"91","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 1"
"92","Liopsetta glacialis","Liopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"93","Platichthys flesus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"94","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"95","Acanthopsetta nadeshnyi","Acanthopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 2"
"96","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"97","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"98","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 3"
"99","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"100","Myzopsetta proboscidea","Myzopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"101","Microstomus pacificus","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","family","Pleuronectidae 4"
"102","Lepidopsetta bilineata","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Lepidopsetta"
"103","Lepidopsetta polyxystra","Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Lepidopsetta"
"104","Atheresthes evermanni","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Atheresthes"
"105","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Atheresthes"
"106","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Hippoglossoides"
"107","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","genus","Hippoglossoides"
"108","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus 2"
"109","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus 2"
"110","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus 2"
"111","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus 1"
"112","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Myoxocephalus 1"
"113","Hemilepidotus jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hemilepidotus"
"114","Hemilepidotus papilio","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hemilepidotus"
"115","Artediellus pacificus","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Artediellus"
"116","Artediellus scaber","Artediellus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Artediellus"
"117","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 1"
"118","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 1"
"119","Eumesogrammus praecisus","Eumesogrammus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 2"
"120","Opisthocentrus ocellatus","Opisthocentrus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Stichaeidae 2"
"121","Leptagonus decagonus","Leptagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae 1"
"122","Sarritor frenatus","Sarritor","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae 1"
"123","Chesnonia verrucosa","Chesnonia","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae 2"
"124","Occella dodecaedron","Occella","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","family","Agonidae 2"
"125","Hexagrammos lagocephalus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"126","Hexagrammos octogrammus","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"127","Hexagrammos stelleri","Hexagrammos","Hexagrammidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Hexagrammos"
"128","Liparis bathyarcticus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis 1"
"129","Liparis gibbus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis 1"
"130","Liparis ochotensis","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis 1"
"131","Gymnelus hemifasciatus","Gymnelus","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Gymnelus"
"132","Gymnelus viridis","Gymnelus","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Gymnelus"
"133","Salvelinus alpinus","Salvelinus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Salvelinus"
"134","Salvelinus malma","Salvelinus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Salvelinus"
"135","Anoplarchus insignis","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anoplarchus"
"136","Anoplarchus purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anoplarchus"
"137","Xiphister atropurpureus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Xiphister"
"138","Xiphister mucosus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Xiphister"
"139","Bathymaster leurolepis","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Bathymaster"
"140","Bathymaster signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Bathymaster"
"141","Ammodytes hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","genus","Ammodytes"
"142","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","genus","Ammodytes"
"143","Lycodes pallidus","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Lycodes"
"144","Lycodes raridens","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Lycodes"
"145","Liparis fabricii","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis 2"
"146","Liparis tunicatus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Liparis 2"
"147","Anarhichas denticulatus","Anarhichas","Anarhichadidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anarhichas"
"148","Anarhichas orientalis","Anarhichas","Anarhichadidae","Perciformes","Actinopteri","Chordata","Eukaryota","genus","Anarhichas"
"149","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Gadus chalcogrammus"
"150","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Boreogadus saida"
"151","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Eleginus gracilis"
"152","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Gadus macrocephalus"
"153","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Arctogadus glacialis"
"154","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","genus","Gadus"
"155","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","genus","Gadus"
"156","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"157","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"158","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"159","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"160","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"161","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","family","Gadidae"
"162","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus keta"
"163","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus tshawytscha"
"164","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus gorbuscha"
"165","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus kisutch"
"166","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus nerka"
"167","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"168","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"169","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"170","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
"171","Oncorhynchus mykiss","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","genus","Oncorhynchus"
